#curie_map:
#  AGRO: "http://purl.obolibrary.org/obo/AGRO_"
#  agrovoc: "http://aims.fao.org/aos/agrovoc/"
#  skos: "http://www.w3.org/2004/02/skos/core#"
subject_id	subject_label	predicate_id	object_id	object_label	confidence	comments
AGRO:01000015	tillage	skos:exactMatch	agrovoc:c_7771	tillage	0.9	
AGRO:00020004	deep tillage	skos:exactMatch	agrovoc:c_36704	deep tillage	0.9	
AGRO:00000031	strip-till	skos:exactMatch	agrovoc:c_1516cbf3	strip tillage	0.9	
AGRO:00000463	windrowing	skos:exactMatch	agrovoc:c_25674	windrowing	0.9	
AGRO:00000204	heat treatment	skos:exactMatch	agrovoc:c_24947	heat treatment	0.9	"heat treatment in AGRV includes pasteurization, cooking, boiling, not only for pests. Use thermal control (alt thermal pest control agrovoc:c_34347 )"
AGRO:00000210	steam treatment	skos:exactMatch	agrovoc:c_7381	steaming	0.9	"not only to kill pests, type of thermal pest control?Use thermal control (alt thermal pest control agrovoc:c_34347 ) or add steaming (pest control) as NT?"
AGRO:00000430	rotational grazing	skos:exactMatch	agrovoc:c_6663	rotational grazing	0.9	
AGRO:00000431	continuous grazing	skos:exactMatch	agrovoc:c_36542	continuous grazing	0.9	
AGRO:00000432	strip grazing	skos:exactMatch	agrovoc:c_7456	strip grazing	0.9	
AGRO:00000434	controlled grazing	skos:exactMatch	agrovoc:c_5497	controlled grazing	0.9	
AGRO:00000322	treatment	skos:relatedMatch	agrovoc:c_27921	treatment date	0.9	application
AGRO:00000481	monoculture	skos:exactMatch	agrovoc:c_4915	monoculture	0.9	
AGRO:00000369	experiment	skos:relatedMatch	agrovoc:c_4126	laboratory animals	0.9	"Better ""experimentation""  attern experiments , trials"
AGRO:00000115	ratoon	skos:relatedMatch	agrovoc:c_6462	ratooning	0.9	ratooons
AGRO:00000076	farmyard manure	skos:exactMatch	agrovoc:c_2810	farmyard manure	0.9	
AGRO:00000078	liquid manure	skos:exactMatch	agrovoc:c_4373	liquid manures	0.9	
AGRO:00000080	poultry litter	skos:relatedMatch	agrovoc:c_434	litter for animals	0.9	"add ""poultry litter"", move from alttlterm? To look at"
AGRO:00000081	fish manure	skos:exactMatch	agrovoc:c_27896	fish manure	0.9	
AGRO:00000089	cottonseed meal	skos:exactMatch	agrovoc:c_35678	cottonseed meal	0.9	
AGRO:00000093	plastic mulch	skos:exactMatch	agrovoc:c_13452	plastic mulches	0.9	
AGRO:00000094	landscape fabric	skos:exactMatch	agrovoc:c_33499	geotextiles	0.9	add landscape fabric ?  To look at
AGRO:00000098	straw mulch	skos:exactMatch	agrovoc:c_7442	straw mulches	0.9	
